host send to local-dpu
#bytes #iterations BW peak[MB/sec] BW average[MB/sec] MsgRate[Mpps]
 1          10000000         0.00               3.16   		   3.312819
 2          10000000         0.00               6.67   		   3.499174
 4          10000000         0.00               13.80  		   3.617410
 8          10000000         0.00               27.97  		   3.666585
 16         10000000         0.00               52.98  		   3.471844
 32         10000000         0.00               105.61 		   3.460723
 64         10000000         0.00               202.26 		   3.313797
 128        10000000         0.00               419.39 		   3.435627
 256        10000000         0.00               841.78 		   3.447943
 512        10000000         0.00               1683.09		   3.446977
 1024       10000000         0.00               3302.66		   3.381919
 2048       10000000         0.00               6840.88		   3.502530
 4096       10000000         0.00               11339.32		   2.902865
 8192       10000000         0.00               11447.77		   1.465314
 16384      10000000         0.00               11526.72		   0.737710
 32768      10000000         0.00               11556.75		   0.369816
host send to remote-dpu
#bytes #iterations BW peak[MB/sec] BW average[MB/sec] MsgRate[Mpps]
 1          10000000         0.00               3.24   		   3.400269
 2          10000000         0.00               6.95   		   3.645674
 4          10000000         0.00               14.44  		   3.784863
 8          10000000         0.00               27.25  		   3.571342
 16         10000000         0.00               57.89  		   3.794101
 32         10000000         0.00               109.78 		   3.597379
 64         10000000         0.00               231.80 		   3.797836
 128        10000000         0.00               407.40 		   3.337440
 256        10000000         0.00               835.30 		   3.421406
 512        10000000         0.00               1827.10		   3.741904
 1024       10000000         0.00               3209.50		   3.286531
 2048       10000000         0.00               7119.22		   3.645041
 4096       10000000         0.00               10836.22		   2.774073
 8192       10000000         0.00               10840.36		   1.387567
 16384      10000000         0.00               10840.87		   0.693816
